dataset,DOI,AuthorYear,Publication.Year,globalCitationsCount,location,SDG_theme,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_device_group,RS_spectral_bands_no,RS_spatital_resolution_m,Confusion_matrix,OA_reported,number_classes,fraction_majority_class,total,no_band_group,RS_spatital_res_grouped,esid,event
nina_2024,10.1016/j.ejrs.2023.05.003,Al-Dousari et al. 2023,2023,11,Kuwait,SDG11: Sustainable Cities,Object-level,Tree-Based Models,Remote Sensing Only,Not Used,Passive,satellite,Sentinel,13,Not Reported,Not Reported,0.953,4,0.53,862,Mid,Not Reported,2,821.486
nina_2024,10.1016/j.marpolbul.2022.113901,Peng et al. 2022,2022,21,China,SDG2: Zero Hunger,Unclear,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Sentinel,1,10,Not Reported,0.83,2,0.619047619,882,Low,10-30 metres,1,732.06
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Pixel-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Sentinel,4,10,Reported,0.99,3,0.987555679,3211264,Low,10-30 metres,1,3179151.36
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Pixel-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Sentinel,1,10,Reported,0.98,3,0.987555679,3211264,Low,10-30 metres,2,3147038.72
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Pixel-level,Other,Remote Sensing Only,Used,Passive,satellite,Sentinel,4,10,Reported,0.95,3,0.987555679,3211264,Low,10-30 metres,3,3050700.8
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Used,Passive,satellite,Sentinel,4,10,Reported,0.97,3,0.75,404,Low,10-30 metres,4,391.88
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Pixel-level,Neural Networks,Remote Sensing Only,Used,Combined,satellite,Sentinel,5,10,Reported,0.99,3,0.987555679,3211264,Low,10-30 metres,5,3179151.36
nina_2024,10.1016/j.isprsjprs.2023.03.017,Solórzano et al. 2023,2023,8,Mexico,SDG15: Life on Land,Pixel-level,Other,Remote Sensing Only,Used,Combined,satellite,Sentinel,5,10,Reported,0.95,3,0.987555679,3211264,Low,10-30 metres,6,3050700.8
nina_2024,10.1016/j.procs.2021.12.201,Suryono et al. 2022,2022,10,Indonesia,SDG2: Zero Hunger,Object-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,7,15,Reported,0.8146,6,0.312741313,259,Mid,10-30 metres,1,210.9814
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.8534,2,0.86,75782016,Not Reported,<1 metre,1,64672372.45
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9274,2,0.86,75782016,Not Reported,<1 metre,2,70280241.64
nina_2024,10.1016/j.iswcr.2023.11.004,Shen et al. 2023,2023,NA,China,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,aerial photographic images,Other,Not Reported,0.2,Not Reported,0.9572,2,0.86,75782016,Not Reported,<1 metre,3,72538545.72
