"","effectsizeID","AuthorYear","SDG_theme","ancillary","classification_type","indices","RS_spatital_resolution_m","model_group","Confusion_matrix","RS_device_group","RS_device_type","DOI","Publication.Year","number_classes","fraction_majority_class","total","OA_reported","globalCitationsCount","RS_spatital_res_grouped","esid","studyID","event"
"63",63,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.995176848874598,3110,0.997427652733119,10,"Not Reported",4,9,3102
"64",64,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993890675241158,3110,0.996784565916399,10,"Not Reported",5,9,3100
"65",65,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993890675241158,3110,0.99871382636656,10,"Not Reported",6,9,3106
"66",66,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993890675241158,3110,0.997749196141479,10,"Not Reported",7,9,3103
"67",67,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993890675241158,3110,0.997427652733119,10,"Not Reported",8,9,3102
"68",68,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.993890675241158,3110,1,10,"Not Reported",9,9,3110
"69",69,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.990629183400268,4482,0.99776885319054,10,"Not Reported",10,9,4472
"70",70,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.974788041053101,4482,0.99776885319054,10,"Not Reported",11,9,4472
"71",71,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.987282463186078,4482,0.998438197233378,10,"Not Reported",12,9,4475
"72",72,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.992860330209728,4482,0.99553770638108,10,"Not Reported",13,9,4462
"73",73,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.99440340273114,4482,0.99665327978581,10,"Not Reported",14,9,4467
"74",74,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.99107541276216,4482,0.99888442659527,10,"Not Reported",15,9,4477
"75",75,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.99173922750614,4479,0.999776735878544,10,"Not Reported",16,9,4478
"76",76,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.99107541276216,4482,0.999553770638108,10,"Not Reported",17,9,4480
"77",77,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.99107541276216,4482,1,10,"Not Reported",18,9,4482
"78",78,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.975735879077168,5028,0.796340493237868,10,"Not Reported",19,9,4004
"79",79,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.971117424242424,4224,0.748579545454545,10,"Not Reported",20,9,3162
"80",80,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.971117424242424,4224,0.923058712121212,10,"Not Reported",21,9,3899
"81",81,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.971117424242424,4224,0.973011363636364,10,"Not Reported",22,9,4110
"82",82,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.985795454545455,4224,0.985795454545455,10,"Not Reported",23,9,4164
"83",83,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.971117424242424,4224,0.98248106060606,10,"Not Reported",24,9,4150
"84",84,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.971117424242424,4224,0.993607954545455,10,"Not Reported",25,9,4197
"85",85,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.97077144226162,4174,0.990416866315285,10,"Not Reported",26,9,4134
"86",86,"Nazir et al. 2020","SDG 11: Sustainable Cities and Communities","0","Object-level","1","Not Reported","Neural Networks","1","Other","Passive","10.1109/jstars.2020.3001980",2020,2,0.986531986531986,4224,0.984375,10,"Not Reported",27,9,4158
